TIME,M3,GDP,CPI
1970-71,10326,644389,38
1971-72,11814,654976,39
1972-73,13746,651352,42
1973-74,16474,672818,51
1974-75,18717,680793,64
1975-76,21052,743085,64
1976-77,25237,755443,61
1977-78,30263,810249,66
1978-79,36434,856534,67
1979-80,43792,811668,73
1980-81,50966,866340,81
1981-82,59793,918374,92
1982-83,68515,950294,99
1983-84,80577,1019560,111
1984-85,95295,1058515,118
1985-86,111096,1114133,126
1986-87,130653,1167350,137
1987-88,153207,1213639,149
1988-89,179687,1330486,163
1989-90,213856,1409615,173
1990-91,249493,1487615,193
1991-92,292403,1503337,219
1992-93,344238,1585755,240
1993-94,399048,1661091,258
1994-95,478196,1771702,284
1995-96,552953,1905899,313
1996-97,642631,2049786,342
1997-98,752028,2132798,366
1998-99,901294,2264699,414
1999-00,1056025,2456363,428
2000-01,1224087,2554004,444
2001-02,1420007,2680280,463
2002-03,1647954,2785013,482
2003-04,1861580,3006254,500
2004-05,2121459,3242209,520
